emp_id,emp_name,emp_url,open_vacancy
736233,МДО,https://hh.ru/employer/736233,2
2753595,МосТрансАренда,https://hh.ru/employer/2753595,6
5269493,Blue underlined link,https://hh.ru/employer/5269493,2
3471807,ЭС-АЙ Безопасность,https://hh.ru/employer/3471807,2
8178,Телеформ ИС,https://hh.ru/employer/8178,2
936465,Агент Умный полис,https://hh.ru/employer/936465,8
1875694,РусЭкспресс,https://hh.ru/employer/1875694,9
4937627,Avatec,https://hh.ru/employer/4937627,2
4010751,KVINT,https://hh.ru/employer/4010751,5
4596113,Фабрика Решений,https://hh.ru/employer/4596113,3
